Test Run for Data taking:
Trial, Device, Channel, Tile, IMON, RMON, VCOMP
7, 0, 11, 24, 0.300, 1.404, 0.004

 
7, 0, 12, 26, 0.400, 1.376, 0.004

 
7, 0, 13, 28, 0.330, 1.388, 0.004

 
7, 0, 14, 30, 0.340, 1.392, 0.004

 
7, 0, 15, 32, 4.270, 1.311, 0.004

 
7, 1, 0, 1, 0.420, 1.374, 0.004

 
7, 1, 1, 3, 0.070, 1.375, 0.004

 
7, 1, 2, 5, 0.430, 1.370, 0.004

 
7, 1, 3, 7, 0.400, 1.364, 0.004

 
7, 1, 4, 9, 0.420, 1.373, 0.004

 
7, 1, 5, 11, 0.440, 1.369, 0.004

 
7, 1, 6, 13, 0.410, 1.371, 0.004

 
7, 1, 7, 15, 0.400, 1.382, 0.004

 
7, 1, 8, 17, 0.440, 1.370, 0.004

 
7, 1, 9, 19, 0.350, 1.361, 0.004

 
7, 1, 10, 21, 0.150, 1.363, 0.004

 
7, 1, 11, 23, 0.260, 1.370, 0.004

 
7, 1, 12, 25, 0.320, 1.366, 0.004

 
7, 1, 13, 27, 0.270, 1.369, 0.004

 
7, 1, 14, 29, 0.290, 1.380, 0.004

 
7, 1, 15, 31, 0.310, 1.367, 0.004

 
8, 0, 0, 2, 0.340, 1.390, 0.004

 
8, 0, 1, 4, 0.380, 1.380, 0.004

 
8, 0, 2, 6, 0.350, 1.397, 0.004

 
8, 0, 3, 8, 0.440, 1.379, 0.004

 
8, 0, 4, 10, 0.360, 1.387, 0.004

 
8, 0, 5, 12, 0.410, 1.391, 0.004

 
8, 0, 6, 14, 0.340, 1.390, 0.004

 
8, 0, 7, 16, 0.390, 1.387, 0.004

 
8, 0, 8, 18, 0.370, 1.387, 0.004

 
8, 0, 9, 20, 0.350, 1.390, 0.004

 
8, 0, 10, 22, 0.370, 1.371, 0.004

 
8, 0, 11, 24, 0.300, 1.400, 0.004

 
8, 0, 12, 26, 0.390, 1.378, 0.004

 
8, 0, 13, 28, 0.320, 1.393, 0.004

 
8, 0, 14, 30, 0.340, 1.396, 0.004

 
8, 0, 15, 32, 4.280, 1.368, 0.004

 
8, 1, 0, 1, 0.430, 1.380, 0.004

 
8, 1, 1, 3, 0.080, 1.382, 0.004

 
8, 1, 2, 5, 0.430, 1.370, 0.004

 
8, 1, 3, 7, 0.390, 1.354, 0.004

 
8, 1, 4, 9, 0.420, 1.368, 0.004

 
8, 1, 5, 11, 0.450, 1.380, 0.004

 
8, 1, 6, 13, 0.400, 1.375, 0.004

 
8, 1, 7, 15, 0.400, 1.375, 0.004

 
8, 1, 8, 17, 0.440, 1.369, 0.004

 
8, 1, 9, 19, 0.360, 1.360, 0.004

 
8, 1, 10, 21, 0.160, 1.376, 0.004

 
8, 1, 11, 23, 0.260, 1.370, 0.004

 
8, 1, 12, 25, 0.310, 1.381, 0.004

 
8, 1, 13, 27, 0.270, 1.366, 0.004

 
8, 1, 14, 29, 0.300, 1.373, 0.004

 
8, 1, 15, 31, 0.310, 1.373, 0.004

 
9, 0, 0, 2, 0.350, 1.392, 0.004

 
9, 0, 1, 4, 0.380, 1.385, 0.004

 
9, 0, 2, 6, 0.350, 1.387, 0.004

 
9, 0, 3, 8, 0.440, 1.388, 0.004

 
9, 0, 4, 10, 0.360, 1.387, 0.004

 
9, 0, 5, 12, 0.400, 1.388, 0.004

 
9, 0, 6, 14, 0.340, 1.388, 0.004

 
9, 0, 7, 16, 0.390, 1.384, 0.004

 
9, 0, 8, 18, 0.380, 1.391, 0.004

 
9, 0, 9, 20, 0.350, 1.393, 0.004

 
9, 0, 10, 22, 0.370, 1.379, 0.004

 
9, 0, 11, 24, 0.300, 1.390, 0.004

 
9, 0, 12, 26, 0.390, 1.375, 0.004

 
9, 0, 13, 28, 0.320, 1.388, 0.004

 
9, 0, 14, 30, 0.340, 1.394, 0.004

 
9, 0, 15, 32, 4.270, 1.331, 0.004

 
9, 1, 0, 1, 0.430, 1.375, 0.004

 
9, 1, 1, 3, 0.070, 1.372, 0.004

 
9, 1, 2, 5, 0.440, 1.368, 0.004

 
9, 1, 3, 7, 0.410, 1.360, 0.004

 
9, 1, 4, 9, 0.420, 1.374, 0.004

 
9, 1, 5, 11, 0.450, 1.371, 0.004

 
9, 1, 6, 13, 0.410, 1.372, 0.004

 
9, 1, 7, 15, 0.400, 1.380, 0.004

 
9, 1, 8, 17, 0.440, 1.364, 0.004

 
9, 1, 9, 19, 0.350, 1.356, 0.004

 
9, 1, 10, 21, 0.160, 1.376, 0.004

 
9, 1, 11, 23, 0.260, 1.361, 0.004

 
9, 1, 12, 25, 0.310, 1.377, 0.004

 
9, 1, 13, 27, 0.270, 1.369, 0.004

 
9, 1, 14, 29, 0.290, 1.382, 0.004

 
9, 1, 15, 31, 0.310, 1.361, 0.004

 
10, 0, 0, 2, 0.350, 1.387, 0.004

 
10, 0, 1, 4, 0.380, 1.386, 0.004

 
10, 0, 2, 6, 0.350, 1.384, 0.004

 
10, 0, 3, 8, 0.440, 1.384, 0.004

 
10, 0, 4, 10, 0.360, 1.377, 0.004

 
10, 0, 5, 12, 0.410, 1.383, 0.004

 
10, 0, 6, 14, 0.340, 1.392, 0.004

 
10, 0, 7, 16, 0.390, 1.383, 0.004

 
10, 0, 8, 18, 0.380, 1.396, 0.004

 
10, 0, 9, 20, 0.350, 1.392, 0.004

 
10, 0, 10, 22, 0.380, 1.384, 0.004

 
10, 0, 11, 24, 0.300, 1.396, 0.004

 
10, 0, 12, 26, 0.400, 1.372, 0.004

 
10, 0, 13, 28, 0.320, 1.393, 0.004

 
10, 0, 14, 30, 0.340, 1.396, 0.004

 
10, 0, 15, 32, 4.310, 1.327, 0.004

 
10, 1, 0, 1, 0.430, 1.376, 0.004

 
10, 1, 1, 3, 0.070, 1.376, 0.004

 
10, 1, 2, 5, 0.430, 1.374, 0.004

 
10, 1, 3, 7, 0.400, 1.364, 0.004

 
10, 1, 4, 9, 0.430, 1.370, 0.004

 
10, 1, 5, 11, 0.460, 1.371, 0.004

 
10, 1, 6, 13, 0.410, 1.376, 0.004

 
10, 1, 7, 15, 0.400, 1.381, 0.004

 
10, 1, 8, 17, 0.430, 1.379, 0.004

 
10, 1, 9, 19, 0.350, 1.355, 0.004

 
10, 1, 10, 21, 0.160, 1.367, 0.004

 
10, 1, 11, 23, 0.260, 1.366, 0.004

 
10, 1, 12, 25, 0.320, 1.376, 0.004

 
10, 1, 13, 27, 0.270, 1.362, 0.004

 
10, 1, 14, 29, 0.290, 1.377, 0.004

 
10, 1, 15, 31, 0.310, 1.366, 0.004

 
11, 0, 0, 2, 0.340, 1.392, 0.004

 
11, 0, 1, 4, 0.380, 1.390, 0.004

 
11, 0, 2, 6, 0.350, 1.390, 0.004

 
11, 0, 3, 8, 0.440, 1.382, 0.004

 
11, 0, 4, 10, 0.360, 1.381, 0.004

 
11, 0, 5, 12, 0.400, 1.375, 0.004

 
11, 0, 6, 14, 0.340, 1.391, 0.004

 
11, 0, 7, 16, 0.400, 1.380, 0.004

 
11, 0, 8, 18, 0.370, 1.387, 0.004

 
11, 0, 9, 20, 0.350, 1.384, 0.004

 
11, 0, 10, 22, 0.370, 1.382, 0.004

 
11, 0, 11, 24, 0.300, 1.393, 0.004

 
11, 0, 12, 26, 0.390, 1.364, 0.004

 
11, 0, 13, 28, 0.320, 1.394, 0.004

 
11, 0, 14, 30, 0.340, 1.398, 0.004

 
11, 0, 15, 32, 4.280, 1.356, 0.004

 
11, 1, 0, 1, 0.420, 1.359, 0.004

 
11, 1, 1, 3, 0.060, 1.376, 0.004

 
11, 1, 2, 5, 0.430, 1.364, 0.004

 
11, 1, 3, 7, 0.400, 1.356, 0.004

 
11, 1, 4, 9, 0.420, 1.355, 0.004

 
11, 1, 5, 11, 0.450, 1.371, 0.004

 
11, 1, 6, 13, 0.410, 1.378, 0.004

 
11, 1, 7, 15, 0.400, 1.387, 0.004

 
11, 1, 8, 17, 0.430, 1.372, 0.004

 
11, 1, 9, 19, 0.350, 1.360, 0.004

 
11, 1, 10, 21, 0.160, 1.372, 0.004

 
11, 1, 11, 23, 0.260, 1.372, 0.004

 
11, 1, 12, 25, 0.300, 1.386, 0.004

 
11, 1, 13, 27, 0.270, 1.359, 0.004

 
11, 1, 14, 29, 0.290, 1.380, 0.004

 
11, 1, 15, 31, 0.310, 1.371, 0.004

 
12, 0, 0, 2, 0.340, 1.399, 0.004

 
12, 0, 1, 4, 0.380, 1.392, 0.004

 
12, 0, 2, 6, 0.350, 1.387, 0.004

 
12, 0, 3, 8, 0.440, 1.378, 0.004

 
12, 0, 4, 10, 0.350, 1.378, 0.004

 
12, 0, 5, 12, 0.410, 1.372, 0.004

 
12, 0, 6, 14, 0.350, 1.379, 0.004

 
12, 0, 7, 16, 0.400, 1.381, 0.004

 
12, 0, 8, 18, 0.370, 1.388, 0.004

 
12, 0, 9, 20, 0.350, 1.393, 0.004

 
12, 0, 10, 22, 0.380, 1.385, 0.004

 
12, 0, 11, 24, 0.300, 1.395, 0.004

 
12, 0, 12, 26, 0.400, 1.385, 0.004

 
12, 0, 13, 28, 0.330, 1.396, 0.004

 
12, 0, 14, 30, 0.340, 1.392, 0.004

 
12, 0, 15, 32, 4.260, 1.339, 0.004

 
12, 1, 0, 1, 0.430, 1.374, 0.004

 
12, 1, 1, 3, 0.030, 1.385, 0.004

 
12, 1, 2, 5, 0.430, 1.365, 0.004

 
12, 1, 3, 7, 0.400, 1.373, 0.004

 
12, 1, 4, 9, 0.420, 1.382, 0.004

 
12, 1, 5, 11, 0.450, 1.377, 0.004

 
12, 1, 6, 13, 0.420, 1.369, 0.004

 
12, 1, 7, 15, 0.400, 1.385, 0.004

 
12, 1, 8, 17, 0.430, 1.363, 0.004

 
12, 1, 9, 19, 0.340, 1.364, 0.004

 
12, 1, 10, 21, 0.170, 1.363, 0.004

 
12, 1, 11, 23, 0.260, 1.382, 0.004

 
